Duration (in seconds),Finished,UserLanguage,clarity_ai_mw_01_1,clarity_ai_mw_02_1,clarity_ai_mw_03_1,clarity_ai_mw_04_1,clarity_ai_mw_05_1,clarity_ai_wd_01_1,clarity_ai_wd_02_1,clarity_ai_wd_03_1,clarity_ai_wd_04_1,clarity_ai_wd_05_1,clarity_ai_yd_01_1,clarity_ai_yd_02_1,clarity_ai_yd_03_1,clarity_ai_yd_04_1,clarity_ai_yd_05_1,AVERAGECLARITY_AI,clarity_hum_mw_01_1,clarity_hum_mw_02_1,clarity_hum_mw_03_1,clarity_hum_mw_04_1,clarity_hum_mw_05_1,clarity_hum_wd_01_1,clarity_hum_wd_02_1,clarity_hum_wd_03_1,clarity_hum_wd_04_1,clarity_hum_wd_05_1,clarity_hum_yd_01_1,clarity_hum_yd_02_1,clarity_hum_yd_03_1,clarity_hum_yd_04_1,clarity_hum_yd_05_1,AVERAGECLARITY_HUMAN,quality_ai_mw_01_1,quality_ai_mw_02_1,quality_ai_mw_03_1,quality_ai_mw_04_1,quality_ai_mw_05_1,quality_ai_wd_01_1,quality_ai_wd_02_1,quality_ai_wd_03_1,quality_ai_wd_04_1,quality_ai_wd_05_1,quality_ai_yd_01_1,quality_ai_yd_02_1,quality_ai_yd_03_1,quality_ai_yd_04_1,quality_ai_yd_05_1,AVERAGE_QUALITY_AI,quality_hum_mw_01_1,quality_hum_mw_02_1,quality_hum_mw_03_1,quality_hum_mw_04_1,quality_hum_mw_05_1,quality_hum_wd_01_1,quality_hum_wd_02_1,quality_hum_wd_03_1,quality_hum_wd_04_1,quality_hum_wd_05_1,quality_hum_yd_01_1,quality_hum_yd_02_1,quality_hum_yd_03_1,quality_hum_yd_04_1,quality_hum_yd_05_1,AVERAGE_QUALITY_HUMAN,age,young_binary,gender_1man_2woman,woman_binary,man_binary,nationality,migrant_binary,work,work_binary,car_driving,driving_binary,women_driver_status,migrant_worker_status,young_driver_status
1080,1,EN,5,5,5,5,2,5,1,5,2,4,5,4,5,1,2,3.73,5,5,3,5,5,5,2,2,5,,5,1,2,1,5,3.64,5,5,5,4,5,5,3,5,3,5,5,5,4,4,4,4.47,4,,1,4,5,4,5,1,5,4,4,4,5,1,5,3.71,19,1,2,1,,UAE,0,student,0,2,1,1,0,1
1090,1,EN,5,4,4,5,5,2,5,3,4,3,5,5,2,4,4,4,5,5,4,5,5,5,4,3,5,,5,5,5,2,5,4.5,5,4,4,4,4,4,4,3,3,4,3,3,3,5,3,3.73,5,,3,4,5,4,2,2,5,5,3,5,4,2,5,3.86,22,0,2,1,,non-UAE,1,student,0,4.5,1,1,0,0
1106,1,EN,4,1,3,2,1,4,1,3,3,1,1,3,3,4,1,2.33,5,4,2,3,4,5,5,1,4,,1,5,2,2,5,3.43,5,4,5,5,2,2,3,2,2,2,2,1,5,5,3,3.2,5,,4,5,5,5,1,1,5,5,5,2,5,1,4,3.79,20,1,2,1,,UAE,0,student,0,1,1,1,0,1
1114,1,EN,5,3,4,5,4,4,4,2,4,2,1,4,4,1,2,3.27,5,4,2,3,4,4,4,2,4,,5,5,5,2,5,3.86,5,1,3,3,3,4,4,3,5,2,2,3,4,4,3,3.27,5,,5,4,5,4,2,2,4,5,5,4,4,4,5,4.14,30,0,2,1,,non-UAE,1,student,0,15,1,1,0,0
1129,1,EN,4,2,1,1,2,3,1,1,3,1,1,1,3,4,1,1.93,5,2,1,5,5,5,3,1,5,,3,4,1,1,4,3.21,5,2,5,2,2,2,2,3,3,2,2,3,2,4,2,2.73,5,,1,4,4,5,1,1,5,4,5,4,1,3,5,3.43,22,0,1,,1,non-UAE,1,student,0,4,1,0,0,0
1167,1,EN,2,3,4,2,4,2,2,2,4,2,3,2,1,2,3,2.53,5,4,3,3,4,5,2,2,5,,5,3,2,2,5,3.57,4,2,4,1,3,3,4,3,3,2,5,2,2,4,2,2.93,4,,2,4,4,5,1,2,5,4,5,3,3,2,5,3.5,49,0,1,,1,non-UAE,1,job,1,20,1,0,1,0
1189,1,EN,5,2,4,1,1,5,1,3,2,1,1,1,2,5,1,2.33,5,4,1,5,5,4,3,1,4,,5,5,1,1,4,3.43,5,1,3,1,3,5,1,1,2,1,1,1,4,5,5,2.6,5,,3,5,5,5,3,1,5,5,5,5,5,1,5,4.14,20,1,1,,1,non-UAE,1,student,0,2,1,0,0,1
1222,1,EN,4,5,1,5,4,1,4,1,4,1,1,4,4,4,1,2.93,5,5,2,1,5,5,4,1,5,,1,4,1,1,4,3.14,5,4,1,5,4,1,5,1,1,1,2,1,1,5,2,2.6,5,,3,1,5,5,2,1,1,4,4,4,4,1,5,3.21,24,0,1,,1,non-UAE,1,student ,0,3,1,0,0,0
1251,1,EN,5,4,4,4,2,3,5,3,1,4,3,5,3,3,4,3.53,5,4,5,4,5,3,1,5,5,,2,2,2,3,4,3.57,5,5,4,3,2,5,3,5,4,4,4,4,2,4,4,3.87,5,,5,4,5,5,5,5,5,5,4,5,3,5,4,4.64,34,0,1,,1,UAE,0,job,1,18,1,0,0,0
1255,1,EN,4,3,2,1,4,4,4,4,1,3,1,4,1,5,3,2.93,5,4,5,5,5,5,4,5,5,,5,4,5,2,5,4.57,4,2,3,2,3,4,5,2,2,2,2,5,2,5,4,3.13,4,,4,4,5,4,4,4,5,2,5,4,5,3,4,4.07,,0,2,1,,non-UAE,1,student,0,1,1,1,0,0
1261,1,EN,5,3,4,4,5,3,5,3,5,3,5,5,1,5,4,4,5,5,1,5,5,5,1,1,5,,3,1,5,2,5,3.5,2,5,5,5,5,5,5,3,5,3,3,4,3,5,5,4.2,5,,3,5,5,5,3,1,5,5,5,1,4,1,5,3.79,21,1,2,1,,non-UAE,1,student,0,1,1,1,0,1
1267,1,EN,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,4.93,5,5,5,5,5,5,5,5,5,,5,5,4,5,5,4.93,5,4,4,5,5,5,5,5,5,5,5,5,4,5,5,4.8,5,,4,5,5,5,4,5,5,4,4,5,5,4,5,4.64,21,1,1,,1,UAE,0,student,0,2,1,0,0,1
1273,1,EN,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,,5,2,5,5,4,4,5,5,5,5,5,5,5,4.64,19,1,2,1,,non-UAE,1,student,0,1,1,1,0,1
1305,1,EN,4,4,4,4,4,5,3,2,3,3,4,3,3,3,3,3.47,4,4,5,5,4,5,3,4,5,,5,5,4,4,5,4.43,4,3,3,4,4,5,4,3,3,3,3,3,4,3,4,3.53,4,,3,5,4,5,3,3,5,4,5,3,4,3,5,4,23,0,1,,1,UAE,0,student,0,5,1,0,0,0
1348,1,EN,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,,3,3,3,3,3,3,3,1,2,1,1,2,1,2,2,1,1,1,2,2,1,1.53,3,,1,3,3,3,3,1,4,4,2,4,1,1,2,2.5,35,0,2,1,,UAE,0,job,1,10,1,1,0,0
1373,1,EN,4,4,4,4,3,4,1,3,3,4,3,3,2,4,3,3.27,3,4,4,3,4,3,3,4,3,,4,4,4,4,3,3.57,3,3,4,4,5,5,4,5,4,4,5,4,4,4,4,4.13,4,,5,5,5,5,3,4,4,4,4,3,4,2,5,4.07,23,0,1,,1,UAE,0,job,1,5,1,0,0,0
1392,0,EN,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,,5,5,5,5,5,5,5,5,5,5,5,5,5,5,,0,,,,non-UAE,1,job,1,,,0,0,0
1414,1,EN,5,3,3,3,3,4,3,3,4,3,3,3,3,4,2,3.27,5,5,2,4,5,5,4,2,5,,5,5,3,3,5,4.14,5,4,4,4,5,5,5,4,4,4,3,3,3,4,3,4,5,,4,5,5,5,3,3,5,5,5,4,4,4,5,4.43,,0,1,,1,non-UAE,1,job,1,10,1,0,1,0
1430,1,EN,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2,5,5,,5,5,5,4,5,4.71,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,,5,5,5,5,2,3,5,5,5,5,5,4,5,4.57,32,0,2,1,,UAE,0,job,1,11,1,1,0,0
1458,1,EN,5,5,4,4,4,4,3,2,4,4,4,3,3,4,3,3.73,5,5,3,3,5,5,5,3,5,,4,3,3,3,4,4,5,4,4,3,3,3,4,3,3,4,4,2,3,5,4,3.6,5,,2,4,5,5,4,3,4,5,4,3,2,3,5,3.86,20,1,1,,1,UAE,0,student,0,2,1,0,0,1
1459,1,EN,4,4,3,3,3,3,4,3,3,3,3,5,3,5,3,3.47,5,5,5,5,4,5,3,5,5,,5,3,3,4,5,4.43,4,4,4,3,5,3,3,3,1,4,4,5,3,4,5,3.67,5,,4,4,4,5,2,5,4,4,5,4,1,4,5,4,19,1,2,1,,UAE,0,job,1,1,1,1,0,1
1501,1,EN,5,2,5,5,5,5,5,1,5,5,2,5,5,5,5,4.33,5,5,2,5,5,5,5,2,5,,2,5,2,5,2,3.93,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,,1,5,5,1,5,1,5,5,5,1,5,5,5,3.86,23,0,1,,1,non-UAE,1,job,1,2,1,0,1,0
1530,1,EN,3,5,4,3,4,3,3,4,3,2,4,4,4,4,4,3.6,3,5,4,4,5,5,4,4,5,,3,5,3,4,4,4.14,5,4,3,4,4,3,3,3,3,2,4,4,4,4,4,3.6,5,,3,4,3,4,5,3,5,4,4,4,4,4,5,4.07,23,0,2,1,,UAE,0,student,0,6,1,1,0,0
1551,1,EN,5,5,4,2,3,4,5,2,2,4,1,2,4,5,4,3.47,5,5,3,5,5,5,3,3,5,,5,5,4,3,5,4.36,5,4,4,3,4,3,3,5,1,3,2,1,2,5,4,3.27,5,,2,5,5,5,3,2,5,2,5,5,4,3,5,4,31,0,2,1,,UAE,0,job,1,12,1,1,0,0
1586,1,EN,3,4,4,3,3,3,4,3,4,4,4,4,3,4,4,3.6,3,3,3,4,4,4,4,4,3,,4,4,3,4,3,3.57,3,1,3,2,4,4,3,4,3,3,4,4,4,4,3,3.27,4,,3,3,4,1,3,3,5,3,3,2,3,2,4,3.07,26,0,2,1,,UAE,0,student,0,8,1,1,0,0
1607,1,EN,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,5,5,,5,5,5,5,5,4.86,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,4.87,5,,5,5,5,5,3,3,5,5,5,5,5,5,5,4.71,25,0,2,1,,UAE,0,student,0,-99,0,0,0,0
1642,1,EN,5,5,5,5,5,2,5,5,2,5,5,2,2,5,2,4,5,5,5,5,5,2,2,5,5,,5,5,5,2,5,4.36,4,5,4,5,5,5,5,5,4,5,4,5,4,5,5,4.67,5,,5,5,5,4,5,4,5,5,5,5,5,4,5,4.79,23,0,1,,1,UAE,0,job,1,3,1,0,0,0
1729,1,EN,5,3,5,3,4,4,4,3,4,5,4,4,5,3,5,4.07,4,4,5,5,4,5,5,4,4,,5,4,4,5,5,4.5,4,5,5,5,4,5,4,5,5,4,4,5,5,3,4,4.47,4,,4,4,4,5,5,3,5,4,4,4,4,4,5,4.21,,0,2,1,,UAE,0,student,0,2,1,1,0,0
1745,1,EN,5,5,5,5,5,5,4,4,4,4,5,5,3,4,5,4.53,5,5,4,5,5,5,5,4,4,,5,5,5,4,5,4.71,4,4,5,5,5,4,5,3,5,5,4,5,3,4,5,4.4,5,,5,5,5,4,5,4,4,5,5,4,5,3,5,4.57,19,1,1,,1,Uae,0,student,0,1,1,0,0,1
3215,1,EN,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,5,5,,5,5,5,5,5,4.86,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,,4,5,5,5,2,4,5,5,5,5,5,5,5,4.64,19,1,2,1,,Uae,0,job,1,1,1,1,0,1
3428,1,EN,5,3,4,3,5,4,2,3,2,3,3,4,3,4,4,3.47,5,3,2,5,4,5,5,2,4,,5,4,3,2,5,3.86,4,3,4,3,5,4,4,4,3,4,4,4,3,4,3,3.73,5,,3,3,2,4,2,4,3,3,2,5,4,3,5,3.43,21,1,2,1,,UAE,0,student,0,-99,0,0,0,0
3934,1,EN,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,,5,5,5,5,4,5,5,5,5,5,5,5,5,4.93,18,1,2,1,,UAE,0,student,0,-99,0,0,0,0
7338,1,EN,5,5,5,5,5,3,5,5,3,5,4,5,3,5,5,4.53,5,5,5,5,5,5,5,3,5,,5,4,3,5,5,4.64,4,3,3,1,5,3,3,3,3,3,3,3,1,1,1,2.67,3,,3,4,3,4,4,3,5,3,3,3,2,3,5,3.43,24,0,2,1,,UAE,0,student,0,-99,0,0,0,0
49693,1,EN,2,1,1,1,2,2,2,2,2,1,2,1,2,4,2,1.8,2,3,2,4,2,5,5,1,3,,4,4,3,1,4,3.07,4,3,2,1,3,2,2,3,1,3,3,2,1,2,2,2.27,4,,1,4,3,4,4,1,4,4,2,4,2,1,4,3,23,0,2,1,,UAE,0,student,0,-99,0,0,0,0
77283,1,EN,5,3,3,3,5,3,5,2,2,4,4,5,3,5,5,3.8,3,3,3,3,3,1,4,3,2,,1,3,3,1,3,2.57,3,2,1,3,5,3,5,4,4,3,4,5,3,3,4,3.47,4,,1,3,3,1,3,1,3,4,3,3,3,1,3,2.57,21,1,2,1,,UAE,0,student,0,3,1,1,0,1
83795,0,EN,4,5,4,4,4,4,4,5,5,4,5,4,4,3,5,4.27,5,4,5,5,5,5,3,4,5,,4,4,4,4,4,4.36,4,5,4,4,5,5,5,5,5,4,4,5,5,5,5,4.67,4,,5,5,3,4,5,4,5,4,5,4,4,5,4,4.36,,0,1,,1,non-UAE,1,job,1,,,0,0,0
115131,1,EN,5,5,4,5,5,5,5,4,5,5,4,5,5,5,5,4.8,5,5,5,5,5,5,5,5,5,,5,4,5,5,5,4.93,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,4.93,5,,4,5,5,5,5,5,5,5,5,5,5,5,5,4.93,24,0,2,1,,UAE,0,job,1,4,1,1,0,0
604947,1,EN,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,,5,5,5,5,5,5,5,5,5,5,5,5,5,5,30,0,2,1,,UAE,0,,0,,,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.92465753,,,127,49,,,,,,,87,34,65
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.933927298,,,,176,,,,,,,,,
